latitude,longitude,keyword
39.7830573,116.211766,兰花文化休闲公园
39.7802262,116.2033984,
39.7822895,116.217329,房山森林城市主题公园
40.1253017,116.8000378,汉石桥湿地公园
39.858468,116.2994892,庄怡公园
39.9021477,116.4289946,
39.9000432,116.4287364,
39.9016638,116.4316832,
39.9017338,116.4337901,
39.9979067,116.4592784,
39.9972054,116.4630435,望京文化体育公园
39.9827808,116.456807,
39.9753317,116.5088128,
40.0203204,116.4638867,朝来滑板公园
39.9130896,116.7112987,路县故城遗址公园
39.8445723,116.5282423,
39.8356195,116.5234952,
39.8618622,116.4875116,小武基公园
39.8472673,116.5080849,
39.9145872,116.412171,
39.913753,116.4120099,
39.939313,116.356865,北草厂口袋公园
39.9294213,116.1904193,平坡草树城市森林公园
39.8823218,116.4172157,体育馆路口袋公园
39.9313714,116.2830215,京门铁路主题公园
39.762429,116.3233134,金星西路口袋公园
39.761576,116.3263885,
39.7129034,116.3143385,
39.7125365,116.3117335,万科大兴公园
40.0301548,116.2944962,新树村郊野公园
39.8262309,116.4380632,芳林公园
39.9028938,116.3851806,
39.9019815,116.3847065,
39.903769,116.3851806,
